gs,sr,load,rate
0.3996673,48828,250,25
0.9173348,48828,250,25
-1.249148,48828,250,25
-1.118399,48828,250,25
-0.2871432,48828,250,25
-0.2115365,48828,250,25
-1.059134,48828,250,25
-1.074234,48828,250,25
-0.402153,48828,250,25
-1.264038,48828,250,25
-0.4288443,48828,250,25
0.1419841,48828,250,25
-1.405321,48828,250,25
-0.7824265,48828,250,25
-0.1989599,48828,250,25
-0.09520987,48828,250,25
-0.2310534,48828,250,25
0.3998396,48828,250,25
-0.06523297,48828,250,25
0.8093392,48828,250,25
0.2652143,48828,250,25
0.3117179,48828,250,25
-0.2580646,48828,250,25
0.2660142,48828,250,25
1.137904,48828,250,25
-0.1915888,48828,250,25
-0.4495057,48828,250,25
-0.03672047,48828,250,25
-0.1395107,48828,250,25
-1.007807,48828,250,25
0.7490655,48828,250,25
-0.3192244,48828,250,25
-0.4304687,48828,250,25
-0.524571,48828,250,25
0.9300712,48828,250,25
0.718744,48828,250,25
-0.9873055,48828,250,25
-0.1200799,48828,250,25
-0.2259096,48828,250,25
-0.1599998,48828,250,25
-0.07532372,48828,250,25
-0.1200183,48828,250,25
-0.6156831,48828,250,25
-1.876091,48828,250,25
0.4115301,48828,250,25
-0.2083862,48828,250,25
-1.088964,48828,250,25
-1.463601,48828,250,25
-0.367623,48828,250,25
0.8311573,48828,250,25
0.2046944,48828,250,25
-0.1187139,48828,250,25
-0.8102006,48828,250,25
0.5512254,48828,250,25
0.7398731,48828,250,25
-0.9890776,48828,250,25
-1.060586,48828,250,25
0.7930833,48828,250,25
-0.5825559,48828,250,25
0.2201997,48828,250,25
-0.5370737,48828,250,25
0.2173571,48828,250,25
-0.3017256,48828,250,25
-0.09012757,48828,250,25
-0.658741,48828,250,25
-0.5784335,48828,250,25
-0.3196305,48828,250,25
-0.7129357,48828,250,25
-1.505231,48828,250,25
-0.9650689,48828,250,25
-0.1909612,48828,250,25
-0.3295613,48828,250,25
-0.5689703,48828,250,25
-0.6446386,48828,250,25
-0.0457406,48828,250,25
0.07842477,48828,250,25
0.3644359,48828,250,25
-1.000436,48828,250,25
-0.2402212,48828,250,25
-0.2033408,48828,250,25
-0.06619282,48828,250,25
-0.714277,48828,250,25
-0.6015806,48828,250,25
-0.5076629,48828,250,25
-1.437414,48828,250,25
-1.235673,48828,250,25
0.3299181,48828,250,25
0.2190799,48828,250,25
-0.8753474,48828,250,25
-0.1576002,48828,250,25
